12-05-2021 04:07:10 - ERROR - v: 7.1.5 - m: 11.4 MB, u: 1 - 
14-05-2021 04:39:42 - ERROR - v: 7.1.5 - m: 12.4 MB, u: 1 - 
14-05-2021 04:39:51 - ERROR - v: 7.1.5 - m: 12.3 MB, u: 1 - 
14-05-2021 06:17:20 - ERROR - v: 7.1.5 - m: 12.3 MB, u: 1 - 
14-05-2021 06:17:25 - ERROR - v: 7.1.5 - m: 12.4 MB, u: 1 - 
14-05-2021 06:17:48 - ERROR - v: 7.1.5 - m: 12.4 MB, u: 1 - 
14-05-2021 06:17:49 - ERROR - v: 7.1.5 - m: 12.4 MB, u: 1 - 
14-05-2021 06:17:51 - ERROR - v: 7.1.5 - m: 12.3 MB, u: 1 - 
14-05-2021 06:18:09 - ERROR - v: 7.1.5 - m: 12.3 MB, u: 1 - 
14-05-2021 06:18:11 - ERROR - v: 7.1.5 - m: 12.3 MB, u: 1 - 
14-05-2021 06:18:13 - ERROR - v: 7.1.5 - m: 12.4 MB, u: 1 - 
14-05-2021 06:18:17 - ERROR - v: 7.1.5 - m: 12.4 MB, u: 1 - 
